nh=247575781 anf=bcd+abe+bde+abf+abg+deg+afg
nh=0 anf=abc+abd+bcd+abe+ace+ade+cde+bcde+bcf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247592501 anf=abc+abd+bcd+abe+ace+bce+ade+bde+bcde+bcf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247585749 anf=abd+bcd+abe+ace+ade+bde+bcde+bcf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+bcd+abe+ace+bce+ade+bcde+bcf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247591190 anf=abd+acd+abe+ace+ade+bcde+bcf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247591614 anf=abd+acd+abe+ace+bce+ade+bde+cde+bcde+abf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247589051 anf=abd+bcd+abe+ace+bce+ade+cde+bcde+abf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247583938 anf=abd+bcd+abe+ade+cde+bcde+abf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+acd+bcd+abe+bce+ade+bde+bcde+abf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247592126 anf=abd+abe+ade+bde+bcde+abf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+abe+bce+ade+bcde+abf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+abe+ade+bcde+abf+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247584452 anf=abd+acd+bcd+abe+bce+ade+bde+cde+bcde+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abd+abe+ace+ade+bde+cde+bcde+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247587344 anf=abd+abe+ace+bce+ade+cde+bcde+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247572489 anf=abd+acd+abe+ace+ade+cde+bcde+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=247583868 anf=abe+cde+bcde+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+abe+bce+ade+bde+bcde+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
nh=0 anf=abc+abd+acd+abe+ade+bde+bcde+abcf+cdef+acg+bdg+cdeg+acfg+cdfg+aefg
